"frame_number"	"time_in_deciseconds"	"X"	"Y"	"Z"	"ID"	"distance"
"377"	11322	1132.1	3273.057	1930.589	-42.171	442	NA
"378"	11271	1127	3648.761	5146.784	-102.127	443	NA
"379"	11314	1131.3	3630.779	5248.629	-99.517	444	NA
"380"	11316	1131.5	-818.882	2129.365	-62.127	445	NA
"381"	11479	1147.8	-1184.797	2083.692	-31.626	446	NA
"382"	11351	1135	3563.377	5318.92	-105.129	447	NA
"383"	11364	1136.3	3546.019	5357.609	-105.962	448	NA
"384"	11373	1137.2	3553.349	5385.751	-100.166	449	NA
"385"	11397	1139.6	3532.248	5428.079	-99.635	450	NA
"386"	11409	1140.8	3505.923	5441.32	-108.04	451	NA
"387"	11422	1142.1	3496.896	5469.586	-106.794	452	NA
"388"	11626	1162.5	-1493.923	2010.378	-30.248	453	NA
"389"	11537	1153.6	3272.332	1930.069	-42.607	454	NA
"390"	11892	1189.1	3273.183	1930.71	-41.878	455	NA
"391"	11654	1165.3	-1551.157	1979.052	-33.324	456	NA
"392"	11689	1168.8	-1600.49	1943.789	-37.647	457	NA
"393"	11836	1183.5	-1895.33	1822.027	-36.047	458	NA
"394"	11851	1185	-1921.99	1795.531	-25.876	459	NA
"395"	11856	1185.5	3273.173	1930.641	-42.606	460	NA
"396"	11859	1185.8	-1940.263	1794.609	-25.804	461	NA
"397"	11868	1186.7	-1970.2	1788.176	-29.063	462	NA
"398"	11877	1187.6	-1978.005	1783.015	-26.457	463	NA
"399"	11889	1188.8	-1996.314	1768.21	-22.812	464	NA
"400"	11921	1192	-2061.464	1743.672	-22.812	465	NA
"401"	11949	1194.8	-2071.539	1715.977	-30.966	466	NA
"402"	11993	1199.2	-2148.409	1696.115	-23.533	467	NA
"403"	12081	1208	-2261.653	1547.95	-20.809	468	NA
"404"	12109	1210.8	-2291.449	1513.019	-27.494	469	NA
"405"	12145	1214.4	-2345.355	1461.558	-18.071	470	NA
"406"	12168	1216.7	-2377.161	1417.748	-18.311	471	NA
"407"	12172	1217.1	2825.184	7267.075	-146.099	472	NA
"408"	12190	1218.9	-2403.796	1372.339	-17.83	473	NA
"409"	12198	1219.7	-2415.327	1359.041	-25.711	474	NA
"410"	12231	1223	-2427.671	1283.764	-8.921	475	NA
"411"	12269	1226.8	-2463.525	1208.076	-17.977	476	NA
"412"	12418	1241.7	3272.934	1930.224	-42.615	477	NA
"413"	12274	1227.3	-2467.276	1201.302	-17.024	478	NA
"414"	12297	1229.6	-2487.68	1158.765	-16.865	479	NA
"415"	12324	1232.3	-2509.738	1096.644	-3.58	480	NA
"416"	12339	1233.8	-2519.735	1069.025	-8.617	481	NA
"417"	12353	1235.2	-2536.12	1045.557	-6.562	482	NA
"418"	12365	1236.4	-2552.141	1010.371	3.845	483	NA
"419"	12388	1238.7	-2546.637	979.136	-6.564	484	NA
"420"	12404	1240.3	-2556.88	942.232	-0.846	485	NA
"421"	12454	1245.3	-2591.855	881.546	-6.668	486	NA
"422"	12523	1252.2	3273.09	1930.514	-42.408	487	NA
"423"	12537	1253.6	-2633.912	740.057	-0.118	488	NA
"424"	12614	1261.3	-2654.354	572.937	2.397	489	NA
"425"	12817	1281.6	3273.012	1930.613	-42.512	490	NA
"426"	12622	1262.1	-2660.946	556.313	12.018	491	NA
"427"	12727	1272.6	-2655.649	351.842	8.046	492	NA
"428"	12744	1274.3	-2662.528	318.836	10.085	493	NA
"429"	12936	1293.5	-2665.327	-69.257	22.297	494	NA
"430"	12796	1279.5	1658.345	8241.78	-150.967	495	NA
"431"	12823	1282.2	1585.01	8245.702	-152.101	496	NA
"432"	12865	1286.4	1480.944	8259.125	-159.103	497	NA
"433"	12885	1288.4	1420.115	8260.265	-154.962	498	NA
"434"	12902	1290.1	1381.473	8252.92	-171.287	499	NA
"435"	12907	1290.6	1362.681	8245.942	-162.091	500	NA
