"frame_number"	"time_in_deciseconds"	"X"	"Y"	"Z"	"ID"
"374"	12346	1234.5	3342.041	6076.827	-121.344	753
"375"	12370	1236.9	419.236	8218.673	-180.508	754
"376"	12441	1244	-2666.662	611.55	-6.119	755
"377"	12461	1246	3266.25	6353.273	-130.414	756
"378"	12512	1251.1	13.25	8224.729	-180.128	757
"379"	12521	1252	3214.122	6508.608	-132.317	758
"380"	12523	1252.2	2483.34	2068.682	-40.389	759
"381"	12542	1254.1	3192.319	6565.318	-135.055	760
"382"	12544	1254.3	2483.375	2068.831	-40.324	761
"383"	12583	1258.2	2483.752	2068.814	-40.397	762
"384"	12585	1258.4	3155.417	6668.315	-136.807	763
"385"	12612	1261.1	3126.714	6746.538	-140.975	765
"386"	12638	1263.7	2483.752	2068.641	-40.636	766
"387"	12680	1267.9	3070.552	6911.315	-142.449	767
"388"	12698	1269.7	-2683.446	-56.104	21.923	768
"389"	12720	1271.9	2484.195	2068.731	-40.242	769
"390"	12754	1275.3	2998.344	7073.518	-145.229	770
"391"	12790	1278.9	-2642.681	-292.328	25.419	771
"392"	12810	1280.9	2482.766	2067.244	-42.512	772
"393"	12821	1282	-804.51	8234.169	-180.407	773
"394"	12895	1289.4	-2598.318	-569.442	17.69	775
"395"	12903	1290.2	2482.688	2066.887	-43.237	776
"396"	12914	1291.3	2484.136	2068.658	-40.43	777
"397"	12994	1299.3	2641.152	7572.771	-156.374	778
"398"	13007	1300.6	-1267.81	8267.923	-181.364	779
"399"	13007	1300.6	-1271.698	8269.333	-174.816	780
"400"	13104	1310.3	-1562.875	8264.66	-181.38	781
"401"	13128	1312.7	-1633.715	8271.175	-174.019	782
"402"	13135	1313.4	-1652.033	8262.882	-181.476	783
"403"	13166	1316.5	2482.21	2067.034	-42.711	784
"404"	13184	1318.3	-1754.368	8266.381	-182.738	785
"405"	13195	1319.4	-1781.21	8268.643	-176.879	786
"406"	13213	1321.2	-1833.187	8265.617	-176.597	787
"407"	13234	1323.3	-1896.714	8258.384	-179.811	788
"408"	13240	1323.9	-1917.097	8257.123	-175.623	789
"409"	13262	1326.1	-1962.673	8253.767	-174.64	790
"410"	13371	1337	-2254.185	8193.875	-173.577	791
"411"	13419	1341.8	2300.151	1990.091	-33.973	792
"412"	13437	1343.6	2283.39	1989.848	-33.292	793
"413"	13467	1346.6	-1880.348	-1757.048	40.338	794
"414"	13514	1351.3	-1792.035	-1791.285	43.243	795
"415"	13527	1352.6	-2658.812	8017.371	-170.246	797
"416"	13532	1353.1	2317.905	2006.567	-34.049	798
"417"	13535	1353.4	-2681.877	8008.317	-166.528	799
"418"	13546	1354.5	-2715.141	7996.201	-167.832	800
"419"	13559	1355.8	2288.938	1979.03	-41.828	801
"420"	13561	1356	-1682.07	-1850.15	42.284	802
"421"	13582	1358.1	-1667.327	-1892.698	46.084	803
"422"	13592	1359.1	-1652.764	-1896.605	44.424	804
"423"	13602	1360.1	-1632.362	-1893.533	33.894	805
"424"	13633	1363.2	-1559.232	-1903.94	43.899	807
"425"	13638	1363.7	-1538.351	-1910.385	53.301	808
"426"	13672	1367.1	-2961.371	7791.19	-163.231	809
"427"	13680	1367.9	2493.515	2039.04	-35.379	810
"428"	13700	1369.9	2518.64	2049.622	-51.009	811
"429"	13706	1370.5	-3025.742	7719.837	-163.57	812
"430"	13747	1374.6	-3097.166	7646.413	-161.354	813
"431"	13761	1376	2684.639	2056.728	-42.643	814
"432"	13780	1377.9	860.834	8213.608	-179.296	816
"433"	13788	1378.7	-1186.255	-2018.51	47.54	817
"434"	13798	1379.7	-3165.759	7565.728	-160.238	818
"435"	13824	1382.3	-3211.136	7511.963	-159.136	819
"436"	13926	1392.5	-3334.308	7305.628	-154.042	820
"437"	13928	1392.7	2169.726	2005.449	-33.664	821
"438"	14043	1404.2	-3454.53	7086.34	-152.892	822
"439"	14073	1407.2	3168.761	2022.747	-31.065	823
"440"	14131	1413	3189.96	2001.564	-33.058	824
"441"	14136	1413.5	-3507.141	6963.574	-148.689	825
"442"	14156	1415.5	3208.532	1998.258	-28.163	826
"443"	14180	1417.9	3207.591	1997.191	-38.368	827
"444"	14200	1419.9	-3517.809	6935.027	-151.579	828
"445"	14230	1422.9	-250.511	8209.141	-176.152	829
"446"	14247	1424.6	-3533.298	6933.656	-148.79	830
"447"	14295	1429.4	3219.502	2001.809	5.391	831
"448"	14354	1435.3	2602.529	2033.738	-47.212	833
"449"	14367	1436.6	2655.333	2042.826	-46.255	834
"450"	14380	1437.9	2654.152	2043.371	-46.222	835
"451"	14380	1437.9	2599.891	2032.237	-49.639	836
"452"	14406	1440.5	2600.102	2045.618	-43.359	837
"453"	14468	1446.7	-3569.985	6863.877	-139.997	838
"454"	14488	1448.7	506.195	-1454.568	26.123	839
"455"	14526	1452.5	-3581.001	6843.701	-139.279	840
"456"	14532	1453.1	-1659.234	-1887.427	45.05	841
"457"	14541	1454	-3580.852	6834.498	-132.099	842
"458"	14603	1460.2	2657.279	2035.204	-38.457	843
"459"	14736	1473.5	2517.909	2054.799	-35.897	844
