"frame_number"	"time_in_deciseconds"	"X"	"Y"	"Z"	"ID"	"distance"
"326"	8211	821	912.127	-898.699	26.511	388	4.008
"327"	8321	832	-1121.759	2097.303	-41.14	389	1.328
"328"	8349	834.8	1072.812	-600.986	18.788	390	2.738
"329"	8985	898.4	-687.726	2109.518	-18.085	391	11.884
"330"	9013	901.2	2153.968	786.912	-5.588	392	4.923
"331"	9029	902.8	-765.415	2112.336	-32.32	393	1.777
"332"	9114	911.3	2305.997	927.993	-10.684	394	2.623
"333"	9133	913.2	2362.862	948.269	-11.241	395	5.511
"334"	9186	918.5	2513.218	1032.212	-11.077	396	2.444
"335"	9216	921.5	2611.2	1057.2	-9.471	397	1.622
"336"	9236	923.5	2654.407	1062.844	-13.082	398	3.918
"337"	9250	924.9	2685.543	1081.98	-15.483	399	4.172
"338"	9289	928.8	2767.681	1135.119	-15.23	400	1.845
"339"	9310	930.9	2812.798	1175.269	-18.449	401	11.113
"340"	9371	937	2972.275	1251.021	-14.294	402	3.895
"341"	9511	951	3346.473	1422.565	-21.722	404	0.939
"342"	9538	953.7	2737.697	2080.889	-50.717	405	2.569
"343"	9585	958.4	3507.664	1503.38	-24.778	406	7.647
"344"	9626	962.5	3609.261	1577.673	-24.38	407	3.206
"345"	9631	963	2741.084	2084.212	-43.658	408	0.044
"346"	9647	964.6	3647.598	1618.548	-28.881	409	7.128
"347"	9658	965.7	3676.196	1643.913	-25.935	410	0.515
"348"	9677	967.6	3726.873	1676.439	-27.041	411	0.677
"349"	9687	968.6	3726.532	1699.054	-28.713	412	0.858
"350"	9719	971.8	3793.602	1755.221	-28.953	413	1.322
"351"	9746	974.5	3858.587	1780.277	-35.286	414	6.386
"352"	9773	977.2	3919.041	1844.277	-31.777	415	1.465
"353"	9818	981.7	4004.195	1942.039	-37.897	416	2.979
"354"	9871	987	4099.893	2039.376	-39.31	417	4.44
"355"	9975	997.4	4208.289	2239.271	-42.799	418	0.473
"356"	9982	998.1	1654.693	2065.1	-41.658	419	0.027
"357"	9997	999.6	4246.785	2289.069	-45.013	420	7.121
"358"	10017	1001.6	4280.294	2330.198	-44.658	422	4.866
"359"	10030	1002.9	4290.996	2367.13	-47.365	423	5.492
"360"	10167	1016.6	4435.792	2707.925	-50.225	424	0.589
"361"	10637	1063.6	4309.445	3941.935	-76.037	425	2.356
"362"	10700	1069.9	4254.263	4105.515	-79.588	426	5.328
"363"	10737	1073.6	4211.308	4170.119	-81.355	427	4.936
"364"	10823	1082.2	4185.777	4194.686	-82.092	428	3.446
"365"	10853	1085.2	4136.983	4279.557	-83.422	429	3.888
"366"	10916	1091.5	4062.516	4414.55	-85.419	431	6.576
"367"	10979	1097.8	3956.396	4566.12	-89.761	432	4.019
"368"	10997	1099.6	3931.706	4592.822	-91.059	433	2.413
"369"	11010	1100.9	3918.626	4615.291	-91.471	434	3.088
"370"	11087	1108.6	3840.653	4784.582	-95.642	435	1.657
"371"	11109	1110.8	3841.696	4827.269	-97.315	436	0.226
"372"	11137	1113.6	3804.898	4863.656	-97.096	437	4.898
"373"	11144	1114.3	-701.711	2136.105	-27.567	438	3.695
"374"	11148	1114.7	3273.204	1930.724	-42.165	439	0.26
"375"	11179	1117.8	3738.3	4956.553	-95.8	440	3.919
